name,description,price,currency,unit,serial_number,search_aliases
Fast break fragrance,,71.22,USD,KG,1,
Wild Bluebell Fragrance,,72.12,USD,KG,2,
eye candy fragrance,,72.12,USD,KG,4,
Perfume Gardenia fragrance,,72.12,USD,KG,5,
Pure play fragrance,,72.12,USD,KG,6,
sandalwood fragrance,,75.16,USD,KG,8,
Charming fragrance,,75.16,USD,KG,9,
BAISEN Fragrance,,75.46,USD,KG,10,
Sure Blue,,76.66,USD,KG,11,
so in love fragrance,,78.78,USD,KG,15,
Pure play fragrance,,78.78,USD,KG,16,
Love Fragrance,,79.70,USD,KG,17,
Cologne fragrance,,82.72,USD,KG,19,
bubble pop fragrance,,83.34,USD,KG,20,
Green Tea Fragrance,,84.84,USD,KG,21,
Ice Age fragrance,,88.48,USD,KG,23,
Lightning fragrance,,88.78,USD,KG,24,
happy hour fragrance,,88.78,USD,KG,25,
lazy afternoon fragrance,,89.40,USD,KG,26,
Miracle fragrance,,90.30,USD,KG,28,
Perfume fragrance,,90.90,USD,KG,31,
Woody fragrance,,93.94,USD,KG,32,
Encounter Perfume fragrance,,96.36,USD,KG,33,
bench bum fragrance,,96.36,USD,KG,34,
Perfume Fragrance,,106.06,USD,KG,37,
Miracle fragrance,,106.06,USD,KG,38,
Cold water fragrance,,106.06,USD,KG,39,
Perfume (green) fragrance,,111.82,USD,KG,42,
Lightning fragrance,,111.82,USD,KG,43,
Eternal fragrance,,124.24,USD,KG,46,
Charming fragrance,,126.06,USD,KG,49,
Bright perfume fragrance,,128.48,USD,KG,50,
Style perfume fragrance,,154.54,USD,KG,54,
Lightning fragrance,,171.22,USD,KG,57,
Crystal perfume fragrance,,302.72,USD,KG,60,
Liushen Fragrance,,33.04,USD,KG,61,
Red perfume fragrance,,66.06,USD,KG,71,
Purple perfume fragrance,,60.30,USD,KG,72,
Blue perfume fragrance,,59.10,USD,KG,73,
My sassy girl fragrance,,94.84,USD,KG,74,
Joy perfume fragrance,,130.90,USD,KG,75,
Dune perfume fragrance,,141.22,USD,KG,77,
Blue perfume fragrance,,59.10,USD,KG,79,
Purple perfume fragrance,,60.30,USD,KG,80,
Wishing Genie fragrance,,95.76,USD,KG,81,
Coconut fragrance,,47.28,USD,KG,82,
Choco moon fragrance,,30.00,USD,KG,83,
Mousuf Brown fragrance,,147.88,USD,KG,84,
Mousuf pink fragrance,,138.18,USD,KG,86,
My True Style fragrance,,59.10,USD,KG,87,
Mousuf pink fragrance,,141.82,USD,KG,88,
Official club intense fragrance,,178.48,USD,KG,89,
Weekend Pink fragrance,,94.84,USD,KG,90,
Sports (men) fragrance,,71.22,USD,KG,94,
Chilled perfume for men fragrance,,49.40,USD,KG,95,
HOT GIRL fragrance,,36.06,USD,KG,97,
Perfume for women fragrance,,67.58,USD,KG,98,
Passionate fragrance,,59.40,USD,KG,100,
coco Aroma wood coco fragrance,,90.30,USD,KG,101,
Pink Lady fragrance,,232.12,USD,KG,102,
Waltz fragrance,,51.52,USD,KG,103,
Marigold fragrance,,40.90,USD,KG,104,
Cactus fragrance,,36.36,USD,KG,105,
Love only One fragrance,,63.04,USD,KG,106,
City without darkness fragrance,,41.82,USD,KG,107,
Classic male fragrance,,71.22,USD,KG,108,
Sweet heart fragrance,,48.18,USD,KG,109,
Club man fragrance,,181.52,USD,KG,113,
