serial_number,raw_english_name,price,currency,unit
3,Dior Miss Dior Blooming Bouquet,72.12,USD,KG
7,Issey Miyake L'eau d'Issey,72.12,USD,KG
12,Jo Malone Wild Bluebell Fragrance,78.18,USD,KG
13,Burberry fragrance,78.18,USD,KG
14,Lancôme fragrance,78.78,USD,KG
18,Polo Sport fragrance,90.90,USD,KG
22,GIO Giorgio Armani Fragrance,87.58,USD,KG
27,Creed Aventus,89.70,USD,KG
29,Dior Fragrance,90.30,USD,KG
30,Tickled pink fragrance,90.30,USD,KG
35,Adidas - Black Gold Elegance,102.42,USD,KG
36,Tom Ford Lost Cherry,102.42,USD,KG
40,Dior Sauvage,110.60,USD,KG
41,Bvlgari fragrance,110.90,USD,KG
44,Chanel Coco Mademoiselle,117.58,USD,KG
45,Bleu de Chanel Fragrance,120.60,USD,KG
47,Dior Fahrenheit,125.46,USD,KG
48,COCO Chanel Coco Mademoiselle,125.76,USD,KG
51,Paco Rabanne Olympéa,131.22,USD,KG
52,Dior J'adore,138.78,USD,KG
53,Versace Vanitas,148.18,USD,KG
55,Lancome Miracle Tendre Voyage,157.58,USD,KG
56,Dior No.3 fragrance,157.58,USD,KG
58,Boss Fragrance,181.82,USD,KG
59,Kilian Liaisons Dangereuses,298.78,USD,KG
62,Versace Vanitas Fragrance,121.22,USD,KG
63,Jo Malone Wild Bluebell Fragrance,72.42,USD,KG
64,CK one fragrance,69.10,USD,KG
65,Drakkar fragrance,35.76,USD,KG
66,Dior Fragrance,60.30,USD,KG
67,The Black Mark fragrance,70.60,USD,KG
68,Gucci Rush fragrance,72.12,USD,KG
69,Lancome Miracle Fragrance,83.34,USD,KG
70,Black perfume fragrance,82.72,USD,KG
76,Boss Hugo Boss fragrance,126.66,USD,KG
78,Issey Miyake L'eau d'Issey,124.24,USD,KG
85,Mousuf black fragrance,114.54,USD,KG
91,LACOSTE fragrance,79.70,USD,KG
92,Dior J'adore fragrance,77.88,USD,KG
93,Gucci fragrance,74.24,USD,KG
96,) Gucci (for men) fragrance,59.40,USD,KG
99,Bvlgari Aqva Pour Homme Marine,108.78,USD,KG
110,Dior Star fragrance,139.40,USD,KG
111,Dior Homme fragrance,106.96,USD,KG
112,Dior Dune fragrance,56.36,USD,KG
114,Tom Ford fragrance,147.28,USD,KG
115,Byredo Rose Of No Man's Land,49.40,USD,KG
116,Chanel Chance Fragrance,84.54,USD,KG
117,Dior Miss Dior Blooming Bouquet,102.42,USD,KG
118,YSL Yves Saint Laurent Black Opium,79.40,USD,KG
124,Jo Malone Velvet Rose & Oud,188.48,USD,KG
125,Tom Ford Bitter Peach,81.52,USD,KG
126,Dream back to Tang,62.12,USD,KG
129,Hermes Un Jardin à Cythère,206.06,USD,KG
130,Gucci Flora Gorgeous Jasmine,133.04,USD,KG
132,YSL Yves Saint Laurent Libre fragrance,93.34,USD,KG
146,Hermes Eau d'Orange Verte,146.06,USD,KG
147,YSL Yves Saint Laurent Mon Paris,96.36,USD,KG
148,Creed Aventus,155.46,USD,KG
149,Dior Sauvage,119.70,USD,KG
150,Valentino fragrance,98.78,USD,KG
152,Armani stronger with you,147.88,USD,KG
153,Armani stronger with you,78.18,USD,KG
157,Tom Ford,60.60,USD,KG
168,Dior Sauvage,423.04,USD,KG
169,Paco Rabanne 1 Million,78.18,USD,KG
173,Dior Pure Poison,82.42,USD,KG
174,Dior Pure Poison,60.00,USD,KG
181,Hermes - Earth,93.64,USD,KG
182,Versace - Sunset Dreams,78.18,USD,KG
186,Jean Paul Gaultier La Bella,216.66,USD,KG
194,TOM FORD - TOBACCO VANILLE,84.24,USD,KG
195,DIOR - EAU SAUVAGE,55.16,USD,KG
196,CK-ONE CALVIN KLEIN CALVIN KLEIN - CK ONE,66.36,USD,KG
197,PACO RABANNE - 1 MILLION,41.82,USD,KG
198,NH Hugo Boss-Hugo NH HUGO BOSS - HUGO,63.94,USD,KG
199,PACO RABANNE - INVICTUS,63.34,USD,KG
200,ABERCROMBIE & FITCH - FIERCE COLOGNE,35.16,USD,KG
201,AZZARO - WANTED,86.36,USD,KG
202,LACOSTE - LACOSTE ESSENTIAL,56.06,USD,KG
203,ANTONIO BANDERAS - BLUE SEDUCTION,57.88,USD,KG
204,ESCENTRIC 02,101.52,USD,KG
205,CHANEL - EGOISTE PLATINUM,56.06,USD,KG
206,LACOSTE L.12.12 BLANC,84.24,USD,KG
207,CHANEL ALLURE HOME SPORT,62.12,USD,KG
208,NASOMATTO - BLACK AFGANO,66.96,USD,KG
216,Giorgio Armani Acqua di Giò Profondo,74.54,USD,KG
219,Chanel Chance,120.90,USD,KG
220,Dior Flower Sweetheart,72.12,USD,KG
221,Giorgio Armani Acqua di Giò Profondo,45.46,USD,KG
224,Black Crow,56.96,USD,KG
227,Chanel No. 5,224.24,USD,KG
237,Polo Blue Special,101.52,USD,KG
241,Blue Polo Shirt,73.64,USD,KG
244,Bvlgari Aqva Pour Homme,134.24,USD,KG
245,Bvlgari Aqva Pour Homme,75.76,USD,KG
247,Carolina Herrera 212 VIP Men,44.84,USD,KG
248,Giorgio Armani Acqua di Gio,187.88,USD,KG
250,) Baccarat Rouge 540,545.46,USD,KG
251,540 Baccarat Rouge 540,107.58,USD,KG
252,Jo Malone Lime Basil & Mandarin,107.88,USD,KG
253,Giorgio Armani My Way,222.72,USD,KG
273,) YSL Yves Saint Laurent Libre,208.48,USD,KG
274,) Guerlain Mon Guerlain Florale,231.82,USD,KG
